,text
0,"['hey', 'snorkel', 'sound', 'amaze', 'glad', 'fun']"
1,"['enjoy', 'sunday', 'dinner']"
2,"['show', 'awesome', 'vega', 'make', 'last', 'night', 'tour', 'memorable']"
3,"['damon', 'welcome', 'twitter', 'nation']"
4,"['think', 'find', 'mine', 'leave', 'guy', 'think', 'well']"
5,"['actually', 'say', 'time', 'right', 'eat', 'hat', 'guess', 'find', 'hat', 'metabolism']"
6,"['try', 'figure', 'husband', 'twitter', 'class', 'prove', 'add', 'really', 'got', 'ta']"
7,"['crank', 'fall', 'press', 'try', '7', 'month', 'use', 'think', 'prep']"
8,"['back', 'gym', 'already', 'still', 'try', 'bed', 'great', 'week']"
9,"['realise', 'physic', 'cancel', 'today', 'could', 'hour', 'later']"
10,"['come', 'oh', 'close', 'area', 'great', 'trip', 'bro', 'talk', 'ya', 'soon']"
11,['pleasure']
12,"['lol', 'think']"
13,"['overcast', 'today']"
14,"['late', 'know', 'stop', 'tho', 'eat', 'play', 'sims', 'night']"
15,"['noe', 'idea', 'new', 'mee', 'lol']"
16,"['give', 'park', 'run', 'money', '700', 'stuff']"
17,"['count', 'hour', 'till', 'see', '330', 'five', 'hour', 'away', 'take', 'nap', 'think', 'hope', 'flower']"
18,"['tell', 'read']"
19,"['rain', 'new', 'album', 'great', 'thank']"
20,"['must', 'shit']"
21,['confuse']
22,"['still', 'essay', 'within', 'sun', 'really', 'want', 'tonight', 'suck', 'big', 'timeout', 'picnic', 'lunch', 'six']"
23,"['yes', 'mam', 'need', 'time', 'date', 'save', 'money', 'ticket']"
24,"['maybe', 'twitter', 'rant', 'person', 'next']"
25,"['victorian', 'tourism', 'already']"
26,"['yeah', 'saw', 'ur', 'pic', 'one', 'sweet', 'ride', 'bad', 'joe', 'license', 'yet', 'though', 'find', 'cute']"
27,"['really', 'think', 'dress', 'decide', 'today', 'debate', 'curve', 'amy']"
28,"['catch', 'guard', 'sadden', 'confuse', 'action', 'close', 'friend', 'wondering', 'due', 'alcohol', 'completely', 'bewilder']"
29,"['honor', 'society', 'pass', 'give', 'sooner', 'couldve', 'oh', 'well', 'via']"
30,"['part', 'ii', 'morning', 'high', 'paperwork', 'sound', 'allow', '2', 'follow']"
31,"['cool', 'today', 'watch', 'hell', 'miss', 'ha']"
32,"['wife', 'babysitting', 'friend', 'tonight', '4', 'far']"
33,"['wonder', 'world', 'fucked', 'really', 'faith', 'youth', 'today', 'assist', 'better', 'world', 'pressure', 'lol']"
34,"['understand', 'ur', 'last', 'tweet']"
35,"['ah', 'finally', 'lay']"
36,"['cant', 'take', 'anymore', 'gettin', 'blackberry']"
37,"['3', 'body', 'find', 'sea', 'make', 'sana', 'may']"
38,"['please', 'tweet', 'least', 'bell', 'although', 'seem', 'busy', 'caught', 'party', 'last', 'week']"
39,"['oh', 'follow', 'hope']"
40,"['shall', 'miss', 'ellie', 'tomorrow', 'till', 'saturday']"
41,"['saw', 'special', 'friend', 'morning', 'seem', 'pretty', 'anxious', 'ashamed', 'poor', 'one']"
42,"['hair', 'app', 'dead', 'tire', 'goodnight', 'co', '09']"
43,"['yet', 'another', 'freezing', 'morning']"
44,"['hummer', 'street', 'car', 'around', 'cheaply', 'efficiently', 'ego', 'statement']"
45,"['poor', 'harry', 'cage', 'front', 'see', 'freedom', 'cant', 'quite']"
46,"['feel', 'fricking', 'elderly', 'person', 'shit', 'happen', 'almost', 'point', 'reread', 'control', 'scheme', 'help']"
47,"['excursion', '2', 'rain', 'subside', 'turn', 'long', 'generally', 'excellent', 'kingston']"
48,"['random', 'mickey', 'mouse', 'mouse', 'something', 'wonder', 'youtube', 'name', 'hahaha']"
49,"['flack', 'need', 'new', 'charger']"
50,"['watch', 'funny', 'cute', 'think', 'provoke', 'religion', 'question', 'movie', 'call', 'save', 'movie']"
