,rating,id,date,flag,user,text
894059,4,1692137234,Sun May 03 19:21:16 PDT 2009,NO_QUERY,cariquinn,@NZSoulGirl Hey there! Yum...sangria! And snorkeling sounds amazing. Glad you're having fun! 
1467016,4,2064555259,Sun Jun 07 06:35:08 PDT 2009,NO_QUERY,Nigel_Derbyfan,Enjoyed that. Now for Sunday dinner 
1150195,4,1978427680,Sat May 30 23:19:31 PDT 2009,NO_QUERY,YoungmoneyReef,"show was awesome vegas, u made the last night of tour memorable "
1274449,4,2000971003,Mon Jun 01 23:28:13 PDT 2009,NO_QUERY,DoreenCotinola,@DKA34 Damon welcome to twitter Nation!  
620938,0,2228589656,Thu Jun 18 14:37:57 PDT 2009,NO_QUERY,tmac_82,@teemwilliams &amp; @dc3plusme: I thought I found mine but he left me for a guy he thought was better for him  twitter.com/tmac_82
97869,0,1793113807,Thu May 14 01:25:34 PDT 2009,NO_QUERY,loriblack,I actually said to myself at the time &quot;If this is right I will eat my hat&quot;. Guess I'm going to find a hat. Metabolism 
871296,4,1678631867,Sat May 02 07:17:42 PDT 2009,NO_QUERY,alivingletter,Trying to figure out how my husband is twittering during his class! This proves just how A.D.D. he really is! Gotta love him  &lt;&gt;&lt;
434612,0,2065234042,Sun Jun 07 08:10:31 PDT 2009,NO_QUERY,heidiprice,@tealou Am getting very cranking with not falling preggs  been trying for 7 months. i used to only have to think about it and I was preg
1218909,4,1989882933,Mon Jun 01 03:08:28 PDT 2009,NO_QUERY,Breezie7,@faydra_deon back from the gym already? I am still trying to get myself to bed  have a great week
124871,0,1834202286,Mon May 18 02:01:22 PDT 2009,NO_QUERY,sparkked,"just realised his physics is cancelled today, and so could have got up an hour later! "
1326192,4,2015231994,Wed Jun 03 04:05:19 PDT 2009,NO_QUERY,andrae_robinson,@khoward42 your coming oh so close to my area ! Have a great trip bro talk with ya soon 
1337900,4,2017842603,Wed Jun 03 09:02:12 PDT 2009,NO_QUERY,adnanschat,@frozenblueeyes my pleasure! 
870162,4,1678312646,Sat May 02 06:17:27 PDT 2009,NO_QUERY,LilOne1223,@EddieBaseball LOL I was just thinking that 
670556,0,2246598902,Fri Jun 19 17:50:26 PDT 2009,NO_QUERY,belindaaaaaa,Its so overcast today 
