,rating,text
0,4,hey yum sangria snorkel sound amaz glad fun
1,4,enjoy sunday dinner
2,4,show awesom vega u make last night tour memor
3,4,damon welcom twitter nation
4,0,amp think find mine leav guy thought well
5,0,actual say time quit right eat hat quit guess go find hat metabol
6,4,tri figur husband twitter class prove add realli get ta love
7,0,jealou get crank fall press tri 7 month use think prep
8,4,back gym alreadi still tri get bed great week
9,0,realis physic cancel today could get hour later
10,4,come oh close area great trip bro talk ya soon
11,4,pleasur
12,4,lol think
13,0,overcast today
14,4,im late know stop im tho eat play sim night
15,4,noe idea new meet lol
16,4,give park run money 700 good stuff
17,0,count hour till get see five hour away take nap think hope get flower
18,4,tell good read
19,4,love rain love new album great work thank
20,0,must shit
21,0,confus
22,0,still essay within sun realli dont want go work tonight suck big time picnic lunch six
23,4,ye mam need time get date save money ticket
24,4,bedsheet mayb twitter hehe rant person next
25,4,victorian tourism alreadi
26,4,yeah saw ur pic one sweet ride bad joe doesnt licens yet though find cute
27,0,realli think get dress decid go today debat curv ami go
28,0,catch guard sadden confus action close friend wonder due alcohol complet bewild
29,0,honor societi pass give u sooner couldv gotten oh well via
30,4,astray quit part ii morn high paperwork quit shoot sound like allow 2 follow
31,4,cool day today watch quit drag hell quit 1 miss ha
32,4,wife babysit friend tonight 4 go good far
33,4,wonder world fuck realli faith youth today assist better world pressur lol
34,0,good understand ur last tweet
35,4,ah final lay
36,0,cant take anymor im gettin blackberri
37,0,redskin 3 bodi find sea make sana may
38,0,pleas tweet least bell although seem busi catch parti last week
39,0,oh go u follow hope
40,0,shall miss elli tomorrow till saturday
41,4,saw special friend morn seem pretti anxiou asham poor one
42,4,hair app 10 dead tire goodnight ceo 09 333
43,0,yet anoth freez morn
44,4,good hummer go street car get around cheapli effici ego statement
45,0,poor harri cage front see freedom ca quit get
46,0,feel like frick elderli person shit happen almost point reread control scheme help
47,4,excurs 2 rain subsid turn long gener excel day kingston
48,4,like mickey mous mous someth wonder youtub name quit mous quit hahaha
49,0,flack need new charger
50,4,watch funni cute think provok religion question movi call save good movi
51,0,could find ver tape still look
52,4,plan day jog sunbath read book
53,4,find headlight last night thank encor ad ticket though good
54,0,epic happen everi day
55,4,cool mine great thank brilliant weekend honey xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
56,0,chart edit microdot powerpoint regist asap
57,0,awesom bad ca make other either
58,4,gon na wash cloth hang lazi enjoy day
59,4,tech conclav episod 4 85 do sorri delay everyon
60,0,haha find two player three although four one broke
61,0,dammit wish doubt play blink would epic tour ive never see live
62,0,aww what wrong
63,0,ugh head pli stop talkin
64,0,eww delawar weather bipolar
65,4,unfortun corni joke stash daughter think hilari
66,0,ugh get caught britney
67,4,street someon fuck
68,0,learn tweet wan na send messag 2 pal
69,0,royal good 1 month sell 400
70,0,lose le pound boo
71,0,right safe say cant escap account forc upon
72,4,cheesecak
73,4,decrypt person get use turn growl notif back mainli reason kinda happi sinc
74,4,sambuca north end black
75,0,sadli dont think wan na go thing wan na love brain ink
76,0,love dent piss
77,0,that realli sux
78,0,hate peopl yell thing unnecessari
79,0,awak get readi work tire stomach feel bit well still hurt quit bit
80,0,ok zucchini wo grow much rain tho
81,4,congrat spymast achiev hate invit join spi ring good green tea offer anda
82,4,help build portfolio time ideal sourc make money time slow right
83,4,know daniel great job
84,4,french test funni german cmon go oo posit shock second time
85,0,cape excit feel right without come back solomon pleas
86,4,sound pretti excit
87,0,cant believ work sunday man blasphem
88,0,nice day outsid stuck pa
89,0,hey lol time studi
90,0,make sad typic everyon want buy favourit album nobodi want david gray album
91,0,feel replac
92,0,watch end season 4 see think need rematch season get
93,4,lol ur sister prayer warrior fam u need tell put call
94,0,happi mother day celebr work fol
95,0,bonk chick head club amp drag home would ive never go style caveman awesom
96,0,anyon want give free laptop comput realli broken
97,0,mess
98,4,ya post want well
99,4,beauti
100,4,good night okay get realli noth say
101,0,pack experi ever twitter instead pack ok
102,0,come work ah feel well
103,0,end concert go amaz glad hear gut couldnt go mayb next tym new ad awesom guy
104,0,stink like booz
105,4,reliabl likelihood low
106,0,back dentist cheek teeth hurt
107,0,nice see partner drama queen partner miss panda
